% Inadimplência,Mes/Ano,% Recorrentes
"25,14%",2020-09-01 00:00:00,"2,77%"
"5,33%",2020-10-01 00:00:00,"2,37%"
"9,48%",2020-11-01 00:00:00,"4,41%"
"0,00%",2020-12-01 00:00:00,"2,44%"
"19,55%",2021-01-01 00:00:00,"3,14%"
"23,53%",2021-02-01 00:00:00,"1,88%"
"14,05%",2021-03-01 00:00:00,"2,80%"
"27,51%",2021-04-01 00:00:00,"2,25%"
"11,81%",2021-05-01 00:00:00,"4,25%"
"23,22%",2021-06-01 00:00:00,"1,48%"
"14,32%",2021-07-01 00:00:00,"9,94%"
"15,84%",2021-08-01 00:00:00,"7,87%"
"15,06%",2021-09-01 00:00:00,"10,19%"
"16,01%",2021-10-01 00:00:00,"8,17%"
"15,24%",2021-11-01 00:00:00,"12,85%"
"22,02%",2021-12-01 00:00:00,"13,19%"
"25,37%",2022-01-01 00:00:00,"16,12%"
"16,53%",2022-02-01 00:00:00,"15,61%"
"19,95%",2022-03-01 00:00:00,"16,94%"
"21,16%",2022-04-01 00:00:00,"17,28%"
"18,98%",2022-05-01 00:00:00,"20,87%"
"21,82%",2022-06-01 00:00:00,"17,36%"
"20,06%",2022-07-01 00:00:00,"19,86%"
"25,28%",2022-08-01 00:00:00,"21,90%"
"20,18%",2022-09-01 00:00:00,"20,09%"
"27,14%",2022-10-01 00:00:00,"26,12%"
"24,13%",2022-11-01 00:00:00,"19,28%"
"24,11%",2022-12-01 00:00:00,"25,69%"
"20,91%",2023-01-01 00:00:00,"29,53%"
"27,43%",2023-02-01 00:00:00,"24,48%"
"23,80%",2023-03-01 00:00:00,"30,61%"
"28,03%",2023-04-01 00:00:00,"32,93%"
"27,38%",2023-05-01 00:00:00,"39,44%"
"24,49%",2023-06-01 00:00:00,"31,11%"
"24,62%",2023-07-01 00:00:00,"27,78%"
"28,39%",2023-08-01 00:00:00,"27,98%"
"29,08%",2023-09-01 00:00:00,"37,46%"
"30,52%",2023-10-01 00:00:00,"43,20%"
"27,28%",2023-11-01 00:00:00,"18,04%"
"35,52%",2023-12-01 00:00:00,"43,70%"
"30,09%",2024-01-01 00:00:00,"43,43%"
"25,59%",2024-02-01 00:00:00,"45,91%"
"27,80%",2024-03-01 00:00:00,"42,96%"
"33,71%",2024-04-01 00:00:00,"47,43%"
"30,45%",2024-05-01 00:00:00,"45,83%"
"32,92%",2024-06-01 00:00:00,"51,23%"
"14,57%",2024-07-01 00:00:00,"38,02%"
"16,33%",2024-08-01 00:00:00,"36,58%"
"28,93%",2024-09-01 00:00:00,"46,79%"
"34,27%",2024-10-01 00:00:00,"51,63%"
"21,08%",2024-11-01 00:00:00,"29,25%"
"31,21%",2024-12-01 00:00:00,"44,98%"
